file_name,Soma_surface,Soma_Surface$Total_sum,Surface$Total_sum,Volume$Total_sum,N_stems$Total_sum,N_bifs$Total_sum,N_branch$Total_sum,Width$Maximum,Height$Maximum,Depth$Maximum,Diameter$Average,EucDistance$Maximum,EucDistance$Total_sum,PathDistance$Maximum,PathDistance$Total_sum,Branch_Order$Maximum,Branch_Order$Average,Contraction$Average,Contraction$Maximum,Fragmentation$Average,Fragmentation$Maximum,Partition_asymmetry$Average,Pk_classic$Average,Pk_classic$Maximum,Bif_ampl_local$Average,Bif_ampl_local$Total_sum,Fractal_Dim$Total_sum,Fractal_Dim$Average,Bif_ampl_remote$Average,Bif_ampl_remote$Maximum,Length$Total_sum,Length$Average,Rall_Power$Average,cell_name,cell_type1,Soma_Width,Soma_Height
01_VEN_Cox.CNG.swc,84025.9,84025.9,9519.38,26120.7,4,14,32,149.62,329.59,44.64,1.20044,274.142,59259.6,289.22,83096.6,6,3.14165,0.900177,1,25.0303,131,0.642857,1.40335,2.54992,74.3172,966.124,26.8274,1.03182,73.8402,93.1463,1489.56,1.80553,1.17667,01_VEN_Cox,von Economo neuron,86.49,93.78
02_VEN_Cox.CNG.swc,61847.7,61847.7,9059.8,20737.8,5,18,41,133.02,403.71,37.21,1.29751,274.042,71664.7,305.117,85158.7,9,4.02387,0.892194,1,17.9524,58,0.592593,1.32718,2.862,83.1454,1413.47,36.1287,1.03225,61.1893,131.563,1442.78,1.91604,1.60167,02_VEN_Cox,von Economo neuron,26.94,65.02
02a_pyramidal2aFI.CNG.swc,50374.7,50374.7,16196.4,20149.9,4,15,34,371.7,314.8,128.21,1.32436,294.445,186503,526.409,287073,6,2.73448,0.729826,1,43.2571,176,0.492063,1.45918,2,70.7083,989.917,32.9294,1.09765,55.9085,97.9681,3178.82,2.10101,1.56833,02a_pyramidal2aFI,pyramidal,52.78,100.64
02b_pyramidal1aACC.CNG.swc,24406,24406,7982.33,9871.19,7,10,27,161.51,321,23.48,1.67429,225.945,47452.9,291.476,59935.8,4,1.25532,0.798215,1,21.8214,70,0.5,1.4725,2,80.5744,725.17,26.0314,1.08464,55.2248,131.664,1248.68,2.04702,2.88583,02b_pyramidal1aACC,pyramidal,96.97,154.09
02b_pyramidal1aFI.CNG.swc,55322.9,55322.9,14294.6,20599.1,6,7,20,175.1,386.63,172.05,1.70446,330.253,96949.6,577.458,160840,3,0.88,0.66932,1,44.0476,217,0.428571,1.57233,2,79.3936,476.361,20.6758,1.14866,42.7759,73.4052,2159.98,2.33764,2.17833,02b_pyramidal1aFI,pyramidal,93.68,373.02
03_VEN_rapid.CNG.swc,186902,186902,12843.1,53346.8,8,14,36,188.32,325.19,41.54,1.44035,222.349,69545.7,271.857,85094.7,5,2.02358,0.883174,1,19.4865,84,0.657143,1.62008,2.08698,98.6017,1281.82,30.9629,1.0321,64.7222,103.805,1761.35,2.44632,1.9975,03_VEN_rapid,von Economo neuron,181.26,80.84
03a_pyramidal9aFI.CNG.swc,50255,50255,17703.4,22825.3,7,8,23,547.09,185.39,157.37,2.24275,472.885,144367,679.333,201172,5,2.09069,0.755274,1,34,95,0.75,1.44727,2,94.6424,662.497,22.7311,1.08244,56.4987,81.6316,2306.52,2.83009,2.13125,03a_pyramidal9aFI,pyramidal,99.09,88.58
03a_spindle2aFI.CNG.swc,35551.5,35551.5,9549.82,14089.3,2,67,136,106.56,386.93,134.3,1.85892,250.951,54865.5,342.794,75358.8,17,6.82583,0.940977,1,3.72993,35,0.762895,1.90164,2.52964,90.6742,6075.17,47.0533,1.04563,91.0753,178.046,1316.23,2.58084,1.71167,03a_spindle2aFI,von Economo neuron,15.52,55.87
03a_spindle6aFI.CNG.swc,90191.5,90191.5,10304,26946.2,3,12,27,481,109.67,45.91,1.81109,325.821,78023.8,420.661,104107,7,2.7066,0.763095,1,20.5714,83,0.503968,1.49133,2,61.7698,679.468,26.6512,1.11047,61.4149,84.415,1351.57,2.35056,1.67417,03a_spindle6aFI,von Economo neuron,151.06,67.04
03b_pyramidal2aACC.CNG.swc,6625.42,6625.42,4303.69,3710.17,4,50,104,87.91,189.21,43.94,1.61577,144.07,13281.3,156.138,16468.9,12,5.27059,0.959365,1,2.42857,17,0.741735,1.92418,4.23223,89.7024,4395.42,23.7723,1.03358,79.5616,164.479,751.256,2.9577,1.27667,03b_pyramidal2aACC,pyramidal,24.38,29.79
03b_pyramidal3aACC.CNG.swc,16045.4,16045.4,4047.12,5114.22,4,11,26,156.42,151.77,43.25,1.29407,138.539,18166.3,187.381,25137.9,5,2.19938,0.851304,1,11.8889,49,0.727273,1.6802,2,93.5353,935.353,19.2072,1.06707,88.7297,119.757,840.249,2.62578,1.61333,03b_pyramidal3aACC,pyramidal,62.37,52.19
03b_pyramidal3aFI.CNG.swc,75489.8,75489.8,24829.4,37516.7,6,17,40,204.6,416.7,186.66,1.90756,310.24,130689,462.727,194043,5,2.16325,0.722985,1,30.9268,103,0.45098,1.41572,2,92.3774,1478.04,40.5413,1.12615,54.9271,78.6554,3270.99,2.58168,1.5925,03b_pyramidal3aFI,von Economo neuron,48.21,50.56
03b_pyramidal4aFI.CNG.swc,92838.4,92838.4,14587.6,29875.5,7,5,17,216.13,421.83,159.11,1.42481,380.39,124764,574.36,185904,3,1.4224,0.76811,1,54.0556,165,0.6,1.15897,2,69.6798,278.719,15.1492,1.08209,66.9307,116.438,2451.6,2.52222,1.13833,03b_pyramidal4aFI,pyramidal,166.69,154.79
03b_pyramidal9aFI.CNG.swc,31382.3,31382.3,11744.2,13652,5,7,19,433.8,158.1,74.61,2.01063,329.647,80657.8,411.505,104456,4,2.01221,0.789495,1,32.75,122,0.714286,1.3312,2,83.1333,498.8,18.2299,1.07235,69.9087,96.0456,1723.33,2.63506,1.945,03b_pyramidal9aFI,pyramidal,132.02,130.93
03b_spindle4aACC.CNG.swc,8079.32,8079.32,3511.06,3310.23,2,4,10,319.1,125.12,49.95,1.59872,243.594,24883.9,353.265,35294.2,2,1.02183,0.776908,1,20.8182,60,0.5,1.625,2,107.991,431.966,8.71665,1.08958,48.6191,82.7392,630.813,2.76672,2.25,03b_spindle4aACC,von Economo neuron,105.59,55.76
03b_spindle5aACC.CNG.swc,31557.5,31557.5,3830.76,9333.69,2,6,14,190.18,127.86,39.95,1.85244,127.896,11935.9,157.21,15038.9,3,1.28571,0.861358,1,11.2,36,0.666667,1.62707,2,109.45,656.701,11.6304,1.05731,64.2359,123.125,440.762,2.63929,1.93,03b_spindle5aACC,von Economo neuron,83.7,51.79
03b_spindle6aACC.CNG.swc,10193.6,10193.6,5776.11,4914.32,2,67,136,54.3,398.36,39.29,1.41123,221.58,61714.2,283.829,81238.8,23,9.41463,0.942606,1,3.59124,20,0.8209,1.95521,2.17354,79.735,5342.24,53.8132,1.03487,82.1688,160.288,1149.67,2.34149,4.455,03b_spindle6aACC,von Economo neuron,12.98,33.39
03b_spindle7aACC.CNG.swc,13060.3,13060.3,4395.36,4870.38,2,5,12,363.1,180.13,32.9,1.28148,227.49,50723.2,301.71,63457.5,2,1.50719,0.836865,1,37.4615,115,0.6,1.75845,3.47899,140.756,703.78,9.5939,1.06599,32.0879,57.4278,917.358,1.88757,1.205,03b_spindle7aACC,von Economo neuron,55.87,22.65
04_VEN_rapid.CNG.swc,142579,142579,32738.3,59183.6,11,26,63,442.62,637.25,76.41,1.48724,514.664,268951,596.26,366452,6,2.83718,0.870037,1,27.7344,133,0.462471,1.47635,4.70804,71.9949,1799.87,53.8058,1.03473,61.6148,135.215,5826.12,3.28417,1.13,04_VEN_rapid,von Economo neuron,115.33,382.96
04a_pyramidal4aACC.CNG.swc,14376.9,14376.9,20970.7,13639.2,6,319,644,236.1,705.99,43.71,1.5429,676.518,397580,755.465,458331,53,14.7728,0.959976,1,3.54884,33,0.893895,1.95523,2,72.4575,23041.5,218.977,1.03781,75.853,175.548,4033.53,1.76291,1.155,04a_pyramidal4aACC,pyramidal,45.13,35.29
04a_pyramidal5aACC.CNG.swc,32353.9,32353.9,15164.5,17183.7,6,17,40,409.52,135.3,53.05,1.92677,322.546,88741.4,476.702,132039,4,2.14151,0.764208,1,23.2683,134,0.501961,1.46188,2,61.5472,984.756,38.2351,1.09243,49.5892,82.5292,2088.1,2.19108,2.22,04a_pyramidal5aACC,pyramidal,106.45,75.92
04b_pyramidal5aFI.CNG.swc,23665.4,23665.4,15698.3,14575.3,5,161,327,190.27,479.8,53.18,1.83643,385.351,111061,442.158,140162,43,11.3895,0.961469,1,2.84146,19,0.809769,1.95791,2,93.8713,15019.4,91.5206,1.04001,92.4286,174.727,2429.23,2.60927,1.785,04b_pyramidal5aFI,pyramidal,45.62,56.24
04b_pyramidal6aACC.CNG.swc,7640.68,7640.68,12417.2,7357.17,8,212,432,158.02,465.89,99.47,1.44114,405.919,119055,526.354,155128,27,9.08147,0.955266,1,2.89145,36,0.848565,2.45473,107.54,75.443,15918.5,114.07,1.04651,77.793,169.189,2529.52,2.022,1.525,04b_pyramidal6aACC,pyramidal,40.91,67.94
04b_pyramidal6aFI.CNG.swc,33926.8,33926.8,15319.5,17069,6,223,452,246.44,310.26,55,1.62277,263.008,114509,334.725,136416,44,11.7192,0.975614,1,2.29581,19,0.889897,1.94325,2,93.5099,20759.2,85.5022,1.03015,92.585,174.1,2456.43,2.36422,1.55417,04b_pyramidal6aFI,pyramidal,64.49,79.67
04b_pyramidal7aACC.CNG.swc,35322.8,35322.8,29655.8,20645.8,6,548,1102,382.6,610.18,143.2,1.31501,561.001,493446,665.062,613715,78,18.5597,0.963446,1,2.95467,26,0.922452,1.97288,2,80.4995,44033.2,317.676,1.03816,81.9572,172.814,6650.4,2.04125,2.04182,04b_pyramidal7aACC,pyramidal,29.39,60.03
04b_spindle3aFI.CNG.swc,59909.6,59909.6,10675.6,22355.5,3,4,11,370.89,123.31,52.19,2.95513,249.298,34441.8,369.279,52923,3,1.1875,0.76391,1,25.3333,68,0.75,1.85194,2.10692,61.548,184.644,10.0122,1.11247,72.9572,86.279,942.374,3.11014,0,04b_spindle3aFI,von Economo neuron,221.89,89.5
05_VEN_rapid.CNG.swc,113917,113917,32840.8,50965.6,13,34,81,276.88,470.89,152.03,1.51563,533.049,245190,607.19,347989,8,4.03195,0.829551,1,21.378,134,0.480125,1.49443,4.96354,93.3992,3082.17,70.2273,1.04817,68.1028,154.241,5903.39,3.36951,1.71577,05_VEN_rapid,von Economo neuron,185.44,81.3
05a_pyramidal10aACC.CNG.swc,41444.8,41444.8,12580,17808.5,4,100,204,253.88,289.29,40.98,1.82734,266.611,69455.3,273.478,87111.2,34,8.81476,0.95866,1,3.50244,23,0.796527,1.91447,2,81.6438,8082.74,65.8805,1.02938,82.7301,140.631,1747.1,2.43668,1.553,05a_pyramidal10aACC,pyramidal,62.84,46.76
05a_pyramidal8aACC.CNG.swc,63981.9,63981.9,17270.4,23206,7,213,433,225.22,429.71,91.52,1.34075,290.509,153027,331.928,185436,45,9.71033,0.964867,1,3.32488,22,0.864672,1.92295,2.5865,85.1167,18044.7,142.366,1.03164,84.679,166.251,3414.19,2.36768,1.67346,05a_pyramidal8aACC,pyramidal,61.29,82.13
05b_pyramidal7aFI.CNG.swc,56349.9,56349.9,13450,25385.9,5,10,25,282.49,142.44,152.03,2.31072,208.183,49973.8,349.941,75944,3,1.79897,0.756752,1,22.3846,89,0.5,1.42042,2,84.9408,764.468,24.1403,1.09729,69.9781,104.288,1392.2,2.39622,1.372,05b_pyramidal7aFI,pyramidal,60.82,52.34
05b_pyramidal8aFI.CNG.swc,64743.1,64743.1,20677.7,30351.8,5,13,31,360.9,304.3,113.02,1.73204,276.932,145214,462.145,244933,3,1.98952,0.730826,1,38.7812,156,0.294872,1.46454,2,83.4516,1001.42,29.7884,1.10327,52.0031,92.9588,2965.06,2.39118,1.20833,05b_pyramidal8aFI,pyramidal,118.79,54.38
05b_pyramidal9aACC.CNG.swc,44856.2,44856.2,22829.8,26197.8,7,12,31,633.2,319.2,73.1,1.61576,559.595,213252,856.955,343275,4,1.3617,0.717698,1,39.6562,286,0.444444,1.7328,2,84.5392,929.931,28.6737,1.10283,53.7115,106.301,3532.47,2.78586,1.6975,05b_pyramidal9aACC,pyramidal,144.54,98.39
05b_spindle5aFI.CNG.swc,40235.7,40235.7,6140.47,12856,2,1,4,379.6,63.8,95.21,2.67015,273.908,22120.3,367.786,31088,0,0,0.846501,1,40.6,120,1,2,2,153.829,153.829,2.14724,1.07362,0,0,612.596,3.03265,0,05b_spindle5aFI,von Economo neuron,379.6,63.8
06_VEN_rapid.CNG.swc,111278,111278,18788,35032.5,10,40,90,286.37,366.41,92.63,0.896183,334.817,181927,376.44,224205,10,3.59255,0.892014,1,19.1758,78,0.569444,1.3607,2.54656,69.6094,2714.77,75.6076,1.03572,48.8892,103.469,5641.89,3.23503,1.41437,06_VEN_rapid,von Economo neuron,144.85,116.97
