cell_name,cell_type1,variables,measures
01_VEN_Cox,von Economo neuron,Average length,-1.3360390042540458
02_VEN_Cox,von Economo neuron,Average length,-1.176950191277482
03_VEN_rapid,von Economo neuron,Average length,-0.41356573968746896
03a_spindle2aFI,von Economo neuron,Average length,-0.21991243119405351
03a_spindle6aFI,von Economo neuron,Average length,-0.5514206372590529
03b_pyramidal3aFI,von Economo neuron,Average length,-0.21870317770658323
03b_spindle5aACC,von Economo neuron,Average length,-0.13576854269093
03b_spindle6aACC,von Economo neuron,Average length,-0.5644776957487596
03b_spindle7aACC,von Economo neuron,Average length,-1.2179352469778058
04_VEN_rapid,von Economo neuron,Average length,0.7925926346896381
04b_spindle3aFI,von Economo neuron,Average length,0.5420612246605779
05_VEN_rapid,von Economo neuron,Average length,0.9154470306666534
05b_spindle5aFI,von Economo neuron,Average length,0.43050759044146697
06_VEN_rapid,von Economo neuron,Average length,0.721851305672641
06b_spindle8aACC,von Economo neuron,Average length,-0.15288523788857095
07_VEN_rapid,von Economo neuron,Average length,-0.28669489462707093
07b_spindle9aACC,von Economo neuron,Average length,0.7725391810224264
08_VEN_rapid,von Economo neuron,Average length,0.8272722972052969
08a_spindle13aACC,von Economo neuron,Average length,-0.32009332428100545
09_VEN_rapid,von Economo neuron,Average length,1.7638103315011378
09o_spindle7aFI,von Economo neuron,Average length,-0.4128891335694798
09o_spindle8aFI,von Economo neuron,Average length,-0.8960722770628646
10_VEN_rapid,von Economo neuron,Average length,2.0348270714429346
10a_spindle18aACC,von Economo neuron,Average length,-0.3314516695383135
11_VEN_Cox,von Economo neuron,Average length,-1.6137930136260328
12_VEN_Cox,von Economo neuron,Average length,1.7102864688057382
12a_spindle19aACC,von Economo neuron,Average length,-0.3944480178855618
12o_spindle9aFI,von Economo neuron,Average length,1.5391051209544737
13_VEN_Cox,von Economo neuron,Average length,0.6197845529802297
13o_spindle10aFI,von Economo neuron,Average length,0.15321424906470724
15_VEN_Cox,von Economo neuron,Average length,-0.4671471858822723
15o_spindle12aFI,von Economo neuron,Average length,0.507957397138953
16_VEN_Cox,von Economo neuron,Average length,-1.2544143938498185
16o_spindle13aFI,von Economo neuron,Average length,0.6680395254802242
17_VEN_rapid,von Economo neuron,Average length,0.5891501312976555
18_VEN_Cox,von Economo neuron,Average length,-0.9425421610813555
19_VEN_Cox,von Economo neuron,Average length,-0.7330245985023208
19o_spindle14aFI,von Economo neuron,Average length,-0.5328499587014778
20_VEN_Cox,von Economo neuron,Average length,-1.3900235349446726
21_VEN_rapid,von Economo neuron,Average length,0.9860731926848437
21o_spindle15aFI,von Economo neuron,Average length,2.796599185049654
22_VEN_rapid,von Economo neuron,Average length,0.20064865669820456
22o_pyramidal16aFI,von Economo neuron,Average length,-0.5210021536992413
23_VEN_rapid,von Economo neuron,Average length,-0.592823173330051
23o_spindle16aFI,von Economo neuron,Average length,-0.7409279337954292
25o_spindle17aFI,von Economo neuron,Average length,-1.332382452041934
26o_spindle18aFI,von Economo neuron,Average length,-0.2216831238007055
28o_spindle20aFI,von Economo neuron,Average length,0.6073033294845569
28o_spindle21aFI,von Economo neuron,Average length,1.0523949881226353
29o_spindle22aFI,von Economo neuron,Average length,1.9286718902928863
30o_spindle23aFI,von Economo neuron,Average length,0.11931196379099346
01_VEN_Cox,von Economo neuron,Average diameter,-0.8197975552059387
02_VEN_Cox,von Economo neuron,Average diameter,-0.7035734533323559
03_VEN_rapid,von Economo neuron,Average diameter,-0.5325478974281365
03a_spindle2aFI,von Economo neuron,Average diameter,-0.03138458928735627
03a_spindle6aFI,von Economo neuron,Average diameter,-0.0886525278122707
03b_pyramidal3aFI,von Economo neuron,Average diameter,0.026853180519289133
03b_spindle5aACC,von Economo neuron,Average diameter,-0.0391432395412019
03b_spindle6aACC,von Economo neuron,Average diameter,-0.5674139306676413
03b_spindle7aACC,von Economo neuron,Average diameter,-0.7227665341300641
04_VEN_rapid,von Economo neuron,Average diameter,-0.47640544211905766
04b_spindle3aFI,von Economo neuron,Average diameter,1.2811323852139336
05_VEN_rapid,von Economo neuron,Average diameter,-0.4424134543556804
05b_spindle5aFI,von Economo neuron,Average diameter,0.9399193992045216
06_VEN_rapid,von Economo neuron,Average diameter,-1.1840913283979722
06b_spindle8aACC,von Economo neuron,Average diameter,0.5343982179583716
07_VEN_rapid,von Economo neuron,Average diameter,-1.1455471202233107
07b_spindle9aACC,von Economo neuron,Average diameter,-0.014370635567117079
08_VEN_rapid,von Economo neuron,Average diameter,-0.39032992255903015
08a_spindle13aACC,von Economo neuron,Average diameter,-0.0814087262635413
09_VEN_rapid,von Economo neuron,Average diameter,-0.6372417829522539
09o_spindle7aFI,von Economo neuron,Average diameter,1.482426255688712
09o_spindle8aFI,von Economo neuron,Average diameter,0.3608822311084735
10_VEN_rapid,von Economo neuron,Average diameter,-0.11597542886053655
10a_spindle18aACC,von Economo neuron,Average diameter,-0.2062415774156969
11_VEN_Cox,von Economo neuron,Average diameter,-0.9295800616527174
12_VEN_Cox,von Economo neuron,Average diameter,-0.20297288679949319
12a_spindle19aACC,von Economo neuron,Average diameter,0.3768185945156787
12o_spindle9aFI,von Economo neuron,Average diameter,2.4747073356076545
13_VEN_Cox,von Economo neuron,Average diameter,-0.6688870184783566
13o_spindle10aFI,von Economo neuron,Average diameter,1.2148965006394348
15_VEN_Cox,von Economo neuron,Average diameter,-1.13164261321746
15o_spindle12aFI,von Economo neuron,Average diameter,2.242546489277298
16_VEN_Cox,von Economo neuron,Average diameter,-1.062340385541094
16o_spindle13aFI,von Economo neuron,Average diameter,0.8554003989855432
17_VEN_rapid,von Economo neuron,Average diameter,-0.6296268114068126
18_VEN_Cox,von Economo neuron,Average diameter,-0.7965934437986034
19_VEN_Cox,von Economo neuron,Average diameter,-1.2882991009586542
19o_spindle14aFI,von Economo neuron,Average diameter,0.5809381462557466
20_VEN_Cox,von Economo neuron,Average diameter,-1.3781521732271511
21_VEN_rapid,von Economo neuron,Average diameter,-0.9165172724136033
21o_spindle15aFI,von Economo neuron,Average diameter,0.9576158267896824
22_VEN_rapid,von Economo neuron,Average diameter,-0.7914808764245415
22o_pyramidal16aFI,von Economo neuron,Average diameter,0.14420276560870776
23_VEN_rapid,von Economo neuron,Average diameter,-0.9479350166513988
23o_spindle16aFI,von Economo neuron,Average diameter,-0.07252459279385981
25o_spindle17aFI,von Economo neuron,Average diameter,-0.03660491569272159
26o_spindle18aFI,von Economo neuron,Average diameter,0.8749287301028624
28o_spindle20aFI,von Economo neuron,Average diameter,1.5650415130213298
28o_spindle21aFI,von Economo neuron,Average diameter,1.5630300111036661
29o_spindle22aFI,von Economo neuron,Average diameter,2.34392379128241
30o_spindle23aFI,von Economo neuron,Average diameter,1.8544104317480992
01_VEN_Cox,von Economo neuron,Number of stems,-0.23064487187466873
02_VEN_Cox,von Economo neuron,Number of stems,0.08649182695300066
03_VEN_rapid,von Economo neuron,Number of stems,1.0379019234360087
03a_spindle2aFI,von Economo neuron,Number of stems,-0.8649182695300075
03a_spindle6aFI,von Economo neuron,Number of stems,-0.5477815707023381
03b_pyramidal3aFI,von Economo neuron,Number of stems,0.40362852578067004
03b_spindle5aACC,von Economo neuron,Number of stems,-0.8649182695300075
03b_spindle6aACC,von Economo neuron,Number of stems,-0.8649182695300075
03b_spindle7aACC,von Economo neuron,Number of stems,-0.8649182695300075
04_VEN_rapid,von Economo neuron,Number of stems,1.989312019919017
04b_spindle3aFI,von Economo neuron,Number of stems,-0.5477815707023381
05_VEN_rapid,von Economo neuron,Number of stems,2.6235854175743563
05b_spindle5aFI,von Economo neuron,Number of stems,-0.8649182695300075
06_VEN_rapid,von Economo neuron,Number of stems,1.6721753210913477
06b_spindle8aACC,von Economo neuron,Number of stems,-0.8649182695300075
07_VEN_rapid,von Economo neuron,Number of stems,0.7207652246083395
07b_spindle9aACC,von Economo neuron,Number of stems,-0.8649182695300075
08_VEN_rapid,von Economo neuron,Number of stems,1.0379019234360087
08a_spindle13aACC,von Economo neuron,Number of stems,-0.8649182695300075
09_VEN_rapid,von Economo neuron,Number of stems,0.7207652246083395
09o_spindle7aFI,von Economo neuron,Number of stems,-0.5477815707023381
09o_spindle8aFI,von Economo neuron,Number of stems,-0.8649182695300075
10_VEN_rapid,von Economo neuron,Number of stems,0.7207652246083395
10a_spindle18aACC,von Economo neuron,Number of stems,-0.8649182695300075
11_VEN_Cox,von Economo neuron,Number of stems,-0.5477815707023381
12_VEN_Cox,von Economo neuron,Number of stems,0.08649182695300066
12a_spindle19aACC,von Economo neuron,Number of stems,-0.5477815707023381
12o_spindle9aFI,von Economo neuron,Number of stems,-0.8649182695300075
13_VEN_Cox,von Economo neuron,Number of stems,0.40362852578067004
13o_spindle10aFI,von Economo neuron,Number of stems,-0.5477815707023381
15_VEN_Cox,von Economo neuron,Number of stems,1.3550386222636783
15o_spindle12aFI,von Economo neuron,Number of stems,-0.5477815707023381
16_VEN_Cox,von Economo neuron,Number of stems,0.40362852578067004
16o_spindle13aFI,von Economo neuron,Number of stems,-0.8649182695300075
17_VEN_rapid,von Economo neuron,Number of stems,0.40362852578067004
18_VEN_Cox,von Economo neuron,Number of stems,0.40362852578067004
19_VEN_Cox,von Economo neuron,Number of stems,1.989312019919017
19o_spindle14aFI,von Economo neuron,Number of stems,-0.8649182695300075
20_VEN_Cox,von Economo neuron,Number of stems,0.40362852578067004
21_VEN_rapid,von Economo neuron,Number of stems,2.6235854175743563
