cell_name,cell_type1,variables,measures
24_VEN_rapid,von Economo neuron,Average length,-1.1717100928317785
24_VEN_rapid,von Economo neuron,Average diameter,-0.8635716683665257
24_VEN_rapid,von Economo neuron,Number of stems,1.989312019919017
24_VEN_rapid,von Economo neuron,Average fragmentation,-0.667589229879678
24_VEN_rapid,von Economo neuron,Max fragmentation,0.019017649593824487
24_VEN_rapid,von Economo neuron,Average Rall’s ratio,-0.25365092106487536
24_VEN_rapid,von Economo neuron,Number of branches,-0.06667335539093851
24_VEN_rapid,von Economo neuron,Soma surface,0.12146132687892247
24_VEN_rapid,von Economo neuron,Total Volume,-0.0976836523928113
24_VEN_rapid,von Economo neuron,Max branch order,-0.2629331632362862
24_VEN_rapid,von Economo neuron,Average branch order,-0.3748899601468129
24_VEN_rapid,von Economo neuron,Partition asymmetry,-1.620071285411166
24_VEN_rapid,von Economo neuron,Overall height-to-width ratio,-0.17157440391101453
