cell_name,cell_type1,variables,measures
27o_spindle19aFI,von Economo neuron,Average length,-0.6434678610552842
27o_spindle19aFI,von Economo neuron,Average diameter,-0.059354044523442326
27o_spindle19aFI,von Economo neuron,Number of stems,-0.23064487187466873
27o_spindle19aFI,von Economo neuron,Average fragmentation,-0.024152963001818604
27o_spindle19aFI,von Economo neuron,Max fragmentation,-0.8138849668764497
27o_spindle19aFI,von Economo neuron,Average Rall’s ratio,0.5755417070010072
27o_spindle19aFI,von Economo neuron,Number of branches,-0.36494889266618996
27o_spindle19aFI,von Economo neuron,Soma surface,-0.4948532931973996
27o_spindle19aFI,von Economo neuron,Total Volume,-0.43912381007349277
27o_spindle19aFI,von Economo neuron,Max branch order,-0.46805832604473635
27o_spindle19aFI,von Economo neuron,Average branch order,-0.426790201151194
27o_spindle19aFI,von Economo neuron,Partition asymmetry,-1.8225007630949734
27o_spindle19aFI,von Economo neuron,Overall height-to-width ratio,-0.4276982770824472
